BusinessName,DBAName,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Location
MOOGY'S SANDWICH SHOP INC.,,Active,FS,Eating & Drinking,12/07/2006 01:34:46 PM,+16172541347,"(42.341552, -71.154278)"
Mooo...,,Active,FS,Eating & Drinking,05/31/2007 08:41:03 AM,+10000000000,"(42.35841, -71.06197)"
MORGAN HALL COFFEE CART,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:55 PM,+16173845822,"(42.365174, -71.122227)"
MORGAN MEMORIAL CAFETERIA,,Active,FS,Eating & Drinking,12/07/2006 01:35:21 PM,+16175411261,"(42.330905, -71.07999)"
Morton's of Chicago,,Active,FS,Eating & Drinking,10/18/2007 01:19:07 PM,+13127554205,"(42.348928, -71.040843)"
MOTHER ANNA'S,,Active,FS,Eating & Drinking,04/17/2007 11:19:59 AM,+10000000000,"(42.362698, -71.055309)"
MR. DOOLEYS BOSTON TAVERN,,Active,FS,Eating & Drinking,12/07/2006 01:34:22 PM,+16173389171,"(42.357643, -71.053639)"
Mr. G's Stuffin Muffin,,Active,FT,Eating & Drinking w/ Take Out,04/13/2012 09:27:28 AM,+16174421800,"(42.330446, -71.08203)"
Mt. Olympic Pizza,,Active,FT,Eating & Drinking w/ Take Out,05/21/2008 01:40:59 PM,+16173617070,"(42.237125, -71.13227)"
Mud House,,Active,FS,Eating & Drinking,03/29/2013 08:28:53 AM,+16172820024,"(42.28651, -71.04467)"
Mulligans,,Active,FT,Eating & Drinking w/ Take Out,07/16/2008 11:27:03 AM,+16172481520,"(42.364307, -71.059631)"
MUL'S DINER,,Active,FS,Eating & Drinking,12/07/2006 01:34:46 PM,+16172686189,"(42.341735, -71.055789)"
MURPHY'S LAW,,Active,FS,Eating & Drinking,12/07/2006 01:34:58 PM,+16172687252,"(42.338006, -71.03568)"
Museum of Fine Arts Cafeteria,,Active,FS,Eating & Drinking,09/25/2007 09:24:49 AM,+16173693202,"(42.33927, -71.09405)"
Museum of Fine Arts New American Cafe,,Active,FS,Eating & Drinking,09/28/2010 09:26:24 AM,+16173693202,"(42.33927, -71.09405)"
Museum of Science,,Active,FS,Eating & Drinking,12/07/2006 01:36:17 PM,+10000000000,"(42.367043, -71.070312)"
MY COUSIN'S PLACE,,Active,FT,Eating & Drinking w/ Take Out,03/16/2012 02:23:00 PM,+18572728371,"(42.36602, -71.05296)"
MY DINER,,Active,FS,Eating & Drinking,12/07/2006 01:36:10 PM,+16172689889,"(42.342804, -71.054567)"
My Sisters Crawfish,,Active,FT,Eating & Drinking w/ Take Out,02/27/2013 08:44:38 AM,+16172651100,"(42.299956, -71.058007)"
My Thai Cafe Vegetarian & Bubble Tea Bristro,,Active,FS,Eating & Drinking,12/07/2006 01:36:15 PM,+16174512395,"(42.351421, -71.062558)"
Myers & Chang,,Active,FS,Eating & Drinking,05/24/2007 01:47:00 PM,+10000000000,"(42.3438, -71.06631)"
Mythos Pizza,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:43 PM,+16172829911,"(42.30517, -71.06811)"
N.U. Stetson Hall East,,Active,FS,Eating & Drinking,12/07/2006 01:34:13 PM,+16173733130,"(42.34104, -71.090231)"
N.U. Stetson Hall West,,Active,FS,Eating & Drinking,12/07/2006 01:35:30 PM,+16173733130,"(42.34104, -71.090231)"
NANNING WOK,,Active,FT,Eating & Drinking w/ Take Out,11/19/2013 08:54:13 AM,+16172694688,"(42.335689, -71.046301)"
Napoles,,Active,FS,Eating & Drinking,05/15/2008 12:13:19 PM,+16175674454,"(42.3899, -70.99673)"
Napper Tandys,,Active,FS,Eating & Drinking,06/08/2012 09:30:32 AM,+16173238400,"(42.287388, -71.127396)"
Natalie's Pizza,,Active,FT,Eating & Drinking w/ Take Out,09/12/2007 01:03:56 PM,+16172777662,"(42.348426, -71.134024)"
NAVY YARD BISTRO & WINE BAR,,Active,FS,Eating & Drinking,12/07/2006 01:36:05 PM,+16172420036,"(42.372593, -71.057652)"
Nebo Ristorante/Enoteca,,Active,FS,Eating & Drinking,10/19/2012 10:14:15 AM,+16177236326,"(42.353337, -71.052914)"
Neighborhoods,,Active,FT,Eating & Drinking w/ Take Out,06/08/2012 09:13:13 AM,+16174072228,"(42.34302, -71.099229)"
NEPTUNE RESTAURANT,,Active,FS,Eating & Drinking,12/07/2006 01:36:08 PM,+16175849814,"(42.36323, -71.05594)"
Nevilles Bakery & Restaurant,,Active,FT,Eating & Drinking w/ Take Out,03/30/2010 11:05:51 AM,+16172826446,"(42.300918, -71.066929)"
New Dong Khanh Restaurant,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:02 PM,+10004269410,"(42.35093, -71.06158)"
NEW ENGLAND AQUARIUM CORP.,,Active,FS,Eating & Drinking,12/07/2006 01:34:55 PM,+10000000000,"(42.356944, -71.050388)"
New England Center For Arts & Technology,,Active,FS,Eating & Drinking,11/21/2012 08:24:51 AM,+17819342219,"(42.33314, -71.0706)"
NEW GOLDEN GATE RESTAURANT,,Active,FS,Eating & Drinking,12/07/2006 01:35:59 PM,+16173387721,"(42.351383, -71.060028)"
NEW HONG KONG RESTAURANT,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:59 PM,+16177833236,"(42.350431, -71.16862)"
New Jumbo Seafood,,Active,FS,Eating & Drinking,03/19/2007 11:19:54 AM,+16175422823,"(42.350966, -71.060128)"
New Market Pizza & Grill,,Active,FT,Eating & Drinking w/ Take Out,12/22/2011 10:11:16 AM,+16174271444,"(42.33208, -71.07102)"
New Moon Villa Restaurant,,Active,FS,Eating & Drinking,06/20/2007 01:21:01 PM,+16174232061,"(42.352008, -71.059912)"
NEW SAIGON SANDWICH INC.,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:57 PM,+16175426296,"(42.351119, -71.062679)"
NEW YORK FRIED CHICKEN,,Active,FT,Eating & Drinking w/ Take Out,03/19/2007 11:32:40 AM,+16178980800,"(42.283694, -71.091958)"
New York Fried Chicken,,Active,FT,Eating & Drinking w/ Take Out,02/25/2010 03:02:20 PM,+16174422299,"(42.309591, -71.082238)"
NEW YORK FRIED CHICKEN & PIZZA,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:05 PM,+16177873169,"(42.315432, -71.06626)"
